,Address,Amenities,description,price
148,"Lekki Phase1, Lekki Phase 1, Lekki",5 5,"FOR SALE: 5 BEDROOM FULLY DETACHED DUPLEX WITH SWIMMING POOL AND CINEMA At Lekki Phase 1, Lagos","N270,000,000"
149,"Chevron, Chevron Drive, Lekki",4 4,4Bedroom Fully Detatched House + Bq,"N80,000,000"
150,"Elegunshi, Ikate Elegushi, Lekki",4 4,Luxury 4Bedroom Semi-Detached House With BQ,"N65,000,000"
151,"Orchid Road, Lafiaji, Lekki",5 6,5 Bedroom Duplex with Swimming Pool in a Secured Estate,"N140,000,000"
152,"Banana Island, Ikoyi",4 5,"Lovely 4 Bedroom Terrace with a Room Bq, Gym,Swimming Pool.","N680,000,000"
153,"Lekki, Ikota, Lekki",5 5,5 Bedroom Fully Detached Duplex with Swimming Pool and BQ,"N190,000,000"
154,"Skyeview Housing Scheme Adjacent Novare Mall Sangotedo Eti Osa, Lagos State., Lekki Expressway, Lekki",3 5,3 bedroom Maisonette + BQ - Peridot Heights by Gracias,"N34,900,000"
155,"Ilaso, Lekki Expressway, Lekki",4 4,Humongous 4 Bedroom Terrace Duplex With Bq,"N170,000,000"
156,"Thomas Estate, Ajah",4 4,4 Bedroom Semi-detached Duplex,"N50,000,000"
157,"Westend Estate , Ikota, Lekki",4 4,4 bedroom detached duplex with BQ,"N80,000,000"
158,"Westend Estate , Ikota, Lekki",4 4,4 bedroom detached duplex with a room BQ,"N80,000,000"
159,"Ikota, Lekki",5 5,5 bedroom fully detached duplex with a room BQ,"N95,000,000"
160,"Megamound Estate , Ikota, Lekki",5 5,5 bedroom fully detached duplex with a room BQ,"N135,000,000"
161,"Megamound, Ikota, Lekki",5 5,5 bedroom fully detached duplex with a room bq and pool,"N170,000,000"
162,"Westend Estate , Ikota, Lekki",4 4,4 bedroom detached duplex with BQ,"N80,000,000"
163,"Westend Estate , Ikota, Lekki",4 4,4 bedroom detached duplex with a room BQ,"N80,000,000"
164,"Megamound , Ikota, Lekki",5 5 5,5 bedroom fully detached duplex with a room bq 115m Megemound,"N115,000,000"
165,"Megamound , Ikota, Lekki",5 5 5,"5 bedroom fully detached duplex with a room bq and pool,box 170m megamound","N170,000,000"
166,"Ikota Villa, Ikota, Lekki",4 4,4 Bedroom Detached Duplex,"N90,000,000"
167,"Ikota Villa, Ikota, Lekki",5 5,5 Bedroom Detached Duplex,"N95,000,000"
168,"Ikota G.R.A, Ikota, Lekki",4 4,4 Bedroom Detached Duplex With Bq,"N76,000,000"
169,"Megamound , Ikota, Lekki",5 5 5,5 bedroom fully detached duplex with a room bq 135m megamound,"N130,000,000"
170,"Ikota, Lekki",4 5,Beautiful 4 Bedroom Detached Duplex in a Secure Estate,"N95,000,000"
171,"Ikota, Lekki",5 5 5,5 bedroom fully detached duplex with a room bq 95m ikota,"N95,000,000"
172,"Westend Estate , Ikota, Lekki",4 4,4 bedroom detached duplex with BQ,"N90,000,000"
173,"Westend Estate , Ikota, Lekki",4 4,4 bedroom fully-detached duplex with BQ,"N90,000,000"
174,"Westend Estate , Ikota, Lekki",5 5,5 bedroom fully-detached duplex with a room BQ,"N100,000,000"
175,"Lekki, Ikota, Lekki",5 5,5 Bedroom Fully Detached Duplex with BQ,"N130,000,000"
176,"Westend , Ikota, Lekki",4 4 3,Luxury 4 bedroom fully detached duplex,"N90,000,000"
177,"Megamound Estate, Ikota, Lekki",4 4,Luxury 4 Bedroom Detached Duplex With A Room BQ For Sale In Megamound,"N85,000,000"
178,"Ikota, Lekki",4 4,A beautiful 4 bedroom semi detached duplex,"N75,000,000"
179,"Westend Estate , Ikota, Lekki",5 5 5,5 bedroom fully detached duplex with a room bq 100m WESTEND estate,"N100,000,000"
180,"Ikota, Lekki",4 4,4 Bedroom Semi Detached With Bq,"N50,000,000"
181,"Westend , Ikota, Lekki",4 4 4,4 bedroom fully detached duplex with a room bq 90m WESTEND estate ??,"N90,000,000"
182,"Westend , Ikota, Lekki",4 4 4,Luxury 4 bedroom fully detached duplex with bq,"N80,000,000"
183,"Westend Estate , Ikota, Lekki",5 5,5 bedroom detached duplex with BQ,"N100,000,000"
184,"Thomas Estate, Ikota, Lekki",4 4,4 Bedroom Semi-detached Duplex,"N50,000,000"
185,"Ikota, Lekki",4 4,Spacious 4 Bedroom Semi Detached Duplex,"N68,000,000"
186,"Ikota, Lekki",4 4,Exquisite 4 Bedroom semi detached duplex,"N73,000,000"
187,"Ivy Homes By Ikota Villa Estate , Ikota, Lekki",4 4,Newly Built 4 Bedroom Duplex With Driveway And BQ,"N72,000,000"
188,"Ivy Homes By Ikota Villa Estate Lekki, Ikota, Lekki",4 4,Newly Built 4 Bedroom Duplex With Driveway And BQ,"N72,000,000"
189,"Ikota Gra, Ikota, Lekki",4 5,4 bedroom semi detached for sale,"N75,000,000"
190,"Ikota, Lekki",4 4 4,Luxury 4 bedroom semi detached duplex with bq,"N75,000,000"
191,"Ikota, Lekki",4 4,4 Bedroom Semi Detached Duplex With Bq,"N75,000,000"
192,"Megemound, Ikota, Lekki",5 5,Classic 5 Bedroom Fully Detached Duplex With Bq,"N115,000,000"
193,"Megamound Estate, Ikota, Lekki",5 5,Luxury 5 Bedroom Fully Detached Duplex With Excellent Facilities For Sale Megamound,"N200,000,000"
194,"Oral Estate , Ikota, Lekki",5 5 4,Luxury 5 bedroom fully detached duplex with bq,"N98,000,000"
195,"Ivy Homes Estate By Ikota Villa Estate Before Vgc, Ikota, Lekki",5 5,Well Finished 5 Bedroom Detached Duplex With Bq,"N97,000,000"
196,"Ikota, Lekki",5 5,5 bedroom detached duplex with BQ,"N95,000,000"
197,"Megamound , Ikota, Lekki",5 5 6,"5 bedroom fully detached duplex with a room bq,pool,box,penthouse 190m mega mound","N190,000,000"
198,"Ikota, Lekki",4 4 4,4 bedroom semi detached duplex with a room bq 75m ikota,"N75,000,000"
199,"Ikota, Lekki",5 5 4,Luxury 5 bedroom fully detached duplex with bq,"N95,000,000"
200,"Ikota, Lekki",4 4 3,4 bedroom semi detached duplex with a room bq 4.5m ikota,"N4,500,000"
201,"Orchid , Ikota, Lekki",4 4 4,4 bedroom semi detached duplex 68m orchid,"N68,000,000"
202,"Ikota, Lekki",5 5,An impeccable 5 bedroom fully detached duplex,"N95,000,000"
203,"Ikota, Lekki",4 5,State of the art 4 bedroom detached duplex in a secure estate,"N75,000,000"
204,"Megamound , Ikota, Lekki",5 5 5,"5 bedroom fully detached duplex with a room bq,ante room,pool, 160m Megemound","N160,000,000"
205,"Orchid , Ikota, Lekki",4 4 4,Luxury 4 bedroom semi detached duplex,"N68,000,000"
206,"Westend Estate , Ikota, Lekki",4 4 4,4 bedroom fully detached duplex with a room bq WESTEND estate 80m,"N80,000,000"
207,"Westend , Ikota, Lekki",5 5 4,Luxury 5 bedroom fully detached duplex with bq,"N100,000,000"
208,"Ikota Villa Estate Before Vgc, Ikota, Lekki",4 4,New Built 4 Bedroom Semi Detached Duplex,"N75,000,000"
209,"Ikota, Lekki",4 4,4 bedroom semi-detached duplex with a room BQ,"N75,000,000"
210,"Megamound Estate , Ikota, Lekki",5 5,"5 bedroom detached duplex with BQ, pool and box room","N170,000,000"
211,"Oral Estate , Ikota, Lekki",5 5 5,5 bedroom fully detached duplex with a room bq for sale in oral estate lekki Lagos 98m,"N98,000,000"
212,"Megamound Estate , Ikota, Lekki",5 5,"5 bedroom semi-detached duplex with BQ, ante room and pool","N160,000,000"
213,"Megamound Estate , Ikota, Lekki",5 5,"5 bedroom detached duplex with BQ, box room and pool","N170,000,000"
214,"Ikota, Lekki",5 5,5 bedroom detached duplex with a room BQ,"N95,000,000"
215,"Ikota, Lekki",4 4,4 bedroom semi-detached duplex with BQ,"N75,000,000"
216,"Ologolo, Lekki",4 4,Spacious 4 Bedroom semi detached duplex,"N75,000,000"
217,"Omole Phase 2 Extension , Omole, Ikeja",4 4,4 Bedroom Semi Detached Duplex with bq Available For Sale,"N53,000,000"
218,Ikoyi,5 5,5 Bedroom Semi-Detached Duplex With An En-Suite Basement And A Room Bq,"N320,000,000"
219,"Ikota Villa Estate By Mega Chicken Before Vgc, Ikota, Lekki",4 4,Newly Built 4 Bedroom Terrace Houses,"N55,000,000"
220,"Orchid , Ikota, Lekki",4 4 4,Luxury 4 bedroom terrace duplex,"N55,000,000"
221,"Ologolo, Lekki",4 4 4,4 bedroom semi detached duplex with a room bq for sale price:58m location:ologolo,"N58,000,000"
222,"Aladura Estate Anthony Village, Anthony, Ikorodu Road",5 5,5 Bedroom semi detached duplex with a standard BQ,"N80,000,000"
223,"Lekki , Ologolo, Lekki",4 4 4,Luxury 4 bedroom semi detached duplex with bq,"N58,000,000"
224,"Ilaso, Lekki Expressway, Lekki",4 4,Humongous 4 Bedroom Terrace Duplex With Bq,"N60,000,000"
225,"Osapa, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex with Bq,"N140,000,000"
226,"Idado Estate, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Duplex,"N65,000,000"
227,"Lekki, Lekki Phase 1, Lekki",5 5,Units Of 5 Bedroom Semi Detached Duplexes At A Series,"N300,000,000"
228,"Off Bourdillion Road, Ikoyi",5 5,Super Luxury 4 Bedroom Terrace Duplex with bq,"N240,000,000"
229,"Ologolo, Lekki",4 4,Brand New 4 Bedroom Semi-detached House For Sale In Ologolo,"N75,000,000"
230,"Southernview Estate Lekki, Chevron Drive, Lekki",4 4,4Bedroom Semi Detached House In Southern Estate By Chevron Head Office Lekki,"N62,000,000"
231,"Chevron Alternative , Chevron Drive, Lekki",5 5,5 bedroom detached duplex with BQ,"N102,000,000"
232,"Chevron Alternative , Chevron Drive, Lekki",5 5,5 bedroom detached duplex with BQ,"N102,000,000"
233,"Chevy View Estate , Chevron Drive, Lekki",5 5,5 bedroom detached duplex with BQ,"N115,000,000"
234,"Vgc, Victoria Garden City, Lekki",4 4,4 Bedroom Terrace Duplex,"N45,000,000"
235,Victoria Island,4 4,4 Bedroom Terrace Duplex with bq,"N180,000,000"
236,"Chevy View Estate , Chevron Drive, Lekki",5 5,5 bedroom detached duplex with BQ,"N115,000,000"
237,"Westend Estate, Agungi, Lekki",4 4,A luxurious 4 bedroom fully detached duplex for sale!!!,"N90,000,000"
238,"Westend Estate, Agungi, Lekki",5 5,Luxurious 5 bedroom fully detached duplex for sale!!!,"N100,000,000"
239,"Agungi, Lekki",5 5,Luxury 5 bedroom detached duplex in an estate,"N140,000,000"
240,"Orchid Road, Lekki Lagos, Ikota, Lekki",4 5,Luxury fully completed 4 bedroom terraces,"N57,000,000"
241,"Abraham Adesanya By Atlantic Layout Estate, Abraham Adesanya, Ajah",4 6 4,4 Bedroom Fully Detached with Penthouse and BQ @ Abraham Adesanya,"N70,000,000"
242,"Ologolo, Lekki",4 4,Lovely 4 bedrooms terrace duplex with a room bq,"N60,000,000"
243,"Agungi, Lekki",4 3,Tastefully Finished 4 Bedroom Semi-detached Duplex,"N75,000,000"
244,"Lekki, Osapa, Lekki",5 5,"5 Bedroom Fully Detached Luxury Duplex with Cinema, Swimming Pool, Gym & BQ","N400,000,000"
245,Ikoyi,5 5,Luxury 5Bedrooms Detached Villa,"N1,100,000,000"
246,"Magodo Phase 2 Shangisha, Magodo Shangisha, Ketu",3 3,Newly built 3Bedroom Terrace Duplex with BQ,"N85,000,000"
247,"Chevy View Estate, Chevron Drive, Lekki",4 3,4 Bedroom Semi Detached Duplex,"N85,000,000"
248,"Agungi, Lekki",4 4,Affordable 4 bedroom semi-detached duplex in a strategic location,"N75,000,000"
249,"Megamound, Ibeju Lekki, Ajah",5 5,A beautiful and luxurious 5 bedroom detached duplex,"N115,000,000"
250,"Megamound, Ibeju Lekki, Ajah",5 5,A luxurious 5 bedroom detached duplex,"N170,000,000"
251,"Aguda Titun Opp Excellence Hotel , Aguda , Surulere",4 4,Brand New 4 Bedroom Semi Detached Duplex,"N65,000,000"
252,"Orchid , Ikota, Lekki",4 4 4,4 bedroom terraced duplex 55m orchid,"N55,000,000"
253,"Agungi, Lekki",4 4 4,Luxury 4 bedroom semi detached duplex with bq,"N80,000,000"
254,"Chevron Toll Gate, Chevron Drive, Lekki",4 4,Super Spacious And Beautiful 4 Bedroom Semi Detached Duplex,"N65,000,000"
255,"2Nd Toll Gate, Chevron Drive, Lekki",4 4,Fully Detached 4 Bedroom Duplex House With A Bq,"N90,000,000"
256,"Chevy View Estate, Chevron Drive, Lekki",5 5,5 Bedroom Detached Duplex,"N110,000,000"
257,"Chevron Toll Gate, Chevron Drive, Lekki",4 4,Luxury Duplexes With Bq For Sale In A Mini Estate,"N80,000,000"
258,"Off Chevron Alternative Route, Chevron Drive, Lekki",4 4,Brand new and tastefully finished 4 Bedroom Fully Detached Duplex with Bq,"N80,000,000"
259,"Chevron, Chevron Drive, Lekki",4 4,4 Bedroom Semi Detached Duplex With Bq,"N72,000,000"
260,"Chevy View Estate, Chevron Drive, Lekki",5 5,5 Bedroom Fully Detached Duplex with BQ,"N7,000,000"
261,"Chevron Alternative , Chevron Drive, Lekki",4 4,4 bedroom semi-detached duplex with BQ,"N75,000,000"
262,"Chevron , Chevron Drive, Lekki",5 5,5 Bedroom semi detached for sale,"N75,000,000"
263,"Chevy View Estate, Chevron Drive, Lekki",5 4,Beautifully built 5bed detached duplex with fitted kitchen,"N110,000,000"
264,"Chevy View Estate, Chevron Drive, Lekki",5 5,Lovely 5 bedrooms detached duplex with a room bq,"N110,000,000"
265,"Chevron Alternative , Chevron Drive, Lekki",4 4,4 bedroom semi-detached duplex with a room BQ,"N75,000,000"
266,"Victory Estate, Ajah",4 4,Brand New Lovely 4 Bedroom Semi Detached Duplex,"N45,000,000"
267,"Second Toll Gate, Chevron Drive, Lekki",4 4,Stunning 4 Bedroom semi detached duplex,"N73,000,000"
268,"Chevron, Chevron Drive, Lekki",5 5,5 Bedroom Fully Detached Multi-Purpose Luxury Duplex With Bq,"N70,000,000"
269,"Chevy View Estate, Chevron Drive, Lekki",5 5,5 Bedroom Detached Duplex,"N120,000,000"
270,"Chevron, Chevron Drive, Lekki",4 4,4 Bedroom Semi Detached Duplex,"N75,000,000"
271,"Second Toll Gate, Chevron Drive, Lekki",4 4,Spacious 4 Bedroom Fully Detachec Duplex,"N75,000,000"
272,"Megamond, Ibeju Lekki, Ajah",5 5,5 -Bedroom Detached Duplex With A Bq,"N135,000,000"
273,"Chevron, Chevron Drive, Lekki",5 5,Beautiful 5 Bedroom Fully Detached Duplex,"N120,000,000"
274,"Chevy View Estate, Chevron Drive, Lekki",4 2,4 Bedroom Detached Duplex,"N175,000,000"
275,"Chevy View Estate, Chevron Drive, Lekki","16 15 1,000 m²",4 Units Of 3 Bed Apartments On 1000 Square Meter Of Land,"N250,000,000"
276,"Off Adeniyi Jones, Ikeja , Ikeja",5 5,New And Beautiful 5 Bedroom Semi Detached Duplex With Bq,"N110,000,000"
277,"Chevron , Chevron Drive, Lekki",4 4,Marvelous June 4 bedroom semi detached duplex,"N75,000,000"
278,"Kusenla, Ikate Elegushi, Lekki",4 5 200 m² 220 m²,Luxury 4 bedroom semi detached duplex,"N85,000,000"
279,"Ajah Lagos, Ajah",4 5,Luxury 4 bedroom terrace,"N39,000,000"
280,"2Nd Toll Gate, Chevron Drive, Lekki",5 5,Exquisitely Finished 5 Bedroom Fully Detached Duplex Swimming Pool,"N130,000,000"
281,"Chevron, Chevron Drive, Lekki",5 6,Tastefully Finished 5br Detached House with a Bq. Waterfront,"N120,000,000"
282,"Omole Phase 2 Ikeja , Omole, Ikeja",5 6,Massive 5 Bedroom fully detached duplex in omole phase 2 ikeja,"N150,000,000"
283,"Osapa, Lekki",5 5,Exquisitely 5 Bedroom Fully Detached Duplex with Bq,"N160,000,000"
284,"Ajah Lekki, Thomas Estate, Ajah",4 4,Spaciously built Brand New Spacious 4 Bedroom Fully Detached Duplex For Sale Ajah Lagos,"N75,000,000"
285,"Chevron Drive, Lekki",4 4,4 Bedroom Terrace Duplex,"N55,000,000"
286,"Behind Chevron Head Office Lekki, Chevron Drive, Lekki",5 5,Massive 5 Bedroom Detached Duplex With Lagoon View,"N120,000,000"
287,"Lekki, Lafiaji, Lekki",4 4,4 Bedroom Semi Detached Duplex with BQ,"N75,000,000"
288,"Chevron Drive, Lekki",5 5,Beautifully built 5 bedroom detached duplex with fitted kitchen,"N80,000,000"
289,"Chevron Alternative Route, Chevron Drive, Lekki",4 4,Lagoon view 4 bedroom detached duplex with long driveway,"N85,000,000"
290,"Osapa, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex with Bq,"N120,000,000"
291,"Ikota Gra, Ikota, Lekki",4 4,4 Bedroom Fully detached Duplex +Bq in Ikota GRA Lekki,"N75,000,000"
292,"Nicon Town, Ikate Elegushi, Lekki",5 5,5 Bedroom Detached House With 2 Room Bq,"N350,000,000"
293,"Chevron Alternative, Chevron Drive, Lekki",5 5,5 Bedroom Fully Detached Duplex With BQ,"N100,000,000"
294,"Tulip Estate Chevron , Chevron Drive, Lekki",4 4,4 Bedroom Lagoon View Detached Duplex With Long Driveway,"N85,000,000"
295,"Buena Vista Estate Off Orchid Road, Chevron Drive, Lekki",4 4,Four (4) bedroom fully detached duplex with a room bq,"N75,000,000"
296,"Chevron Drive, Lekki",5 5,5 Bedrooms Fully Detached Duplex with BQ for sale!,"N160,000,000"
297,"Behind Chevron Head Office Lekki, Chevron Drive, Lekki",4 4,Brand New 4 Bedroom Duplex With Driveway,"N85,000,000"
298,"Megamond Estate, Ikota, Lekki",3 3,3 Bedroom Terrace Duplex With Bq,"N50,000,000"
299,"Chevyview Estate, Chevron Drive, Lekki",5 5,Spacious 5 Bedroom Fully Detached Duplex with bq Available For sale,"N83,000,000"
