,Address,Amenities,description,price
26,"Idado Lekki Estate Before Chevron Headoffice, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Houses With Bq,"N70,000,000"
27,Ajah,3 4,Newly built 3 bedroom Terraced duplex with 24 hours power supply,"N45,000,000"
28,"Idado, Lekki",5 5,Luxury 5 Bedroom Detached Duplex For Sale In Idado,"N130,000,000"
29,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex + 1 BQ,"N65,000,000"
30,"Thomas Estate, Ajah",4 3,4 Bedroom Detached Duplex,"N65,000,000"
31,"Thomas Estate, Ajah",5 5,5 Bedroom Detached Duplex,"N65,000,000"
32,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex with a BQ,"N65,000,000"
33,"Thomas Estate, Ajah",3 2,Newly Built 3 Bedroom Bungalow with BQ,"N44,000,000"
34,"Palace Road, Oniru, Victoria Island",4 4,10 Units Of Luxury 4Bedroom Fully Detached Duplexes,"N175,000,000"
35,"Lekky County , Lekki Expressway, Lekki",5 6,Beautiful Fully Detached Duplex,"N90,000,000"
36,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom detached duplex with BQ,"N180,000,000"
37,"Ikate, Ikate Elegushi, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex With Bq,"N180,000,000"
38,"Ikate, Ikate Elegushi, Lekki",4 4,Humongous 4 Bedroom Fully Detached Duplex With A Domestic Room,"N125,000,000"
39,"Lekki Phase 1, Lekki",5 5,Super 5 Bedroom Detached Duplex,"N275,000,000"
40,"Banana Island, Ikoyi",4 4,Fully Furnished 4 Bedroom Terrace With A Room BQ For Sale In Banana island,"N260,000,000"
41,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom semi-detached duplex,"N78,000,000"
42,Ajah,5 5,Fabulous 5 Bedroom Detached Duplex,"N85,000,000"
43,"Gra, Ikota, Lekki",4 5,Newly Built 4 Bedroom Detached Duplex With Bq For Sale,"N80,000,000"
44,"2Nd Toll Gate, Chevron Drive, Lekki",4 4,4 Bedroom Fully Detached Duplex With Bq,"N65,000,000"
45,"Parkview, Parkview Estate, Ikoyi",4 4 4,Direct & Cash Ready Buyers Only - Fresh Fully Detached House + Rooftop Louge + Bq Etc In Parkview @N350m Net,"N350,000,000"
46,Ikoyi,6 6,"6 Bedroom Fully Detached Duplex with Swimming Pool, Cinema, Gym, Elevator and lots more","N1,400,000,000"
47,"Coleman Nwafor Street Off Orchid Road By Lekki Tollgate, Lekki Phase 2, Lekki",4 4,A Fully Serviced 4Bedroom Terrace House With A Swimming On Coleman Nwafor Street On Orchid Road By Chevron Tollgate Lek,"N50,000,000"
48,"Chevron, Lekki Expressway, Lekki",5 5,5 Bedroom Fully Detached Duplex + Bq,"N100,000,000"
49,Ajah,4 4,4 Bedroom Detached Duplex,"N75,000,000"
50,"Royal Garden Estate, Lekki Expressway, Lekki",5 6 500 m² 750 m²,Immaculate 5 Bedroom Pool House,"N140,000,000"
51,"Idado Lekki Estate Before Chevron Headoffice, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Houses With Bq,"N70,000,000"
52,Ajah,3 4,Newly built 3 bedroom Terraced duplex with 24 hours power supply,"N45,000,000"
53,"Idado, Lekki",5 5,Luxury 5 Bedroom Detached Duplex For Sale In Idado,"N130,000,000"
54,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex + 1 BQ,"N65,000,000"
55,"Thomas Estate, Ajah",4 3,4 Bedroom Detached Duplex,"N65,000,000"
56,"Thomas Estate, Ajah",5 5,5 Bedroom Detached Duplex,"N65,000,000"
57,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex with a BQ,"N65,000,000"
58,"Thomas Estate, Ajah",3 2,Newly Built 3 Bedroom Bungalow with BQ,"N44,000,000"
59,"Palace Road, Oniru, Victoria Island",4 4,10 Units Of Luxury 4Bedroom Fully Detached Duplexes,"N175,000,000"
60,"Lekky County , Lekki Expressway, Lekki",5 6,Beautiful Fully Detached Duplex,"N90,000,000"
61,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom detached duplex with BQ,"N180,000,000"
62,"Ikate, Ikate Elegushi, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex With Bq,"N180,000,000"
63,"Ikate, Ikate Elegushi, Lekki",4 4,Humongous 4 Bedroom Fully Detached Duplex With A Domestic Room,"N125,000,000"
64,"Lekki Phase 1, Lekki",5 5,Super 5 Bedroom Detached Duplex,"N275,000,000"
65,"Banana Island, Ikoyi",4 4,Fully Furnished 4 Bedroom Terrace With A Room BQ For Sale In Banana island,"N260,000,000"
66,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom semi-detached duplex,"N78,000,000"
67,Ajah,5 5,Fabulous 5 Bedroom Detached Duplex,"N85,000,000"
68,"Gra, Ikota, Lekki",4 5,Newly Built 4 Bedroom Detached Duplex With Bq For Sale,"N80,000,000"
69,"2Nd Toll Gate, Chevron Drive, Lekki",4 4,4 Bedroom Fully Detached Duplex With Bq,"N65,000,000"
70,"Parkview, Parkview Estate, Ikoyi",4 4 4,Direct & Cash Ready Buyers Only - Fresh Fully Detached House + Rooftop Louge + Bq Etc In Parkview @N350m Net,"N350,000,000"
71,Ikoyi,6 6,"6 Bedroom Fully Detached Duplex with Swimming Pool, Cinema, Gym, Elevator and lots more","N1,400,000,000"
72,"Coleman Nwafor Street Off Orchid Road By Lekki Tollgate, Lekki Phase 2, Lekki",4 4,A Fully Serviced 4Bedroom Terrace House With A Swimming On Coleman Nwafor Street On Orchid Road By Chevron Tollgate Lek,"N50,000,000"
73,"Chevron, Lekki Expressway, Lekki",5 5,5 Bedroom Fully Detached Duplex + Bq,"N100,000,000"
74,Ajah,4 4,4 Bedroom Detached Duplex,"N75,000,000"
75,"Royal Garden Estate, Lekki Expressway, Lekki",5 6 500 m² 750 m²,Immaculate 5 Bedroom Pool House,"N140,000,000"
76,"Idado Lekki Estate Before Chevron Headoffice, Idado, Lekki",5 5,Spacious 5 Bedroom Terrace Houses With Bq,"N70,000,000"
77,Ajah,3 4,Newly built 3 bedroom Terraced duplex with 24 hours power supply,"N45,000,000"
78,"Idado, Lekki",5 5,Luxury 5 Bedroom Detached Duplex For Sale In Idado,"N130,000,000"
79,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex + 1 BQ,"N65,000,000"
80,"Thomas Estate, Ajah",4 3,4 Bedroom Detached Duplex,"N65,000,000"
81,"Thomas Estate, Ajah",5 5,5 Bedroom Detached Duplex,"N65,000,000"
82,"Thomas Estate, Ajah",4 4,4 Bedroom Detached Duplex with a BQ,"N65,000,000"
83,"Thomas Estate, Ajah",3 2,Newly Built 3 Bedroom Bungalow with BQ,"N44,000,000"
84,"Palace Road, Oniru, Victoria Island",4 4,10 Units Of Luxury 4Bedroom Fully Detached Duplexes,"N175,000,000"
85,"Lekky County , Lekki Expressway, Lekki",5 6,Beautiful Fully Detached Duplex,"N90,000,000"
86,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom detached duplex with BQ,"N180,000,000"
87,"Ikate, Ikate Elegushi, Lekki",5 5,Humongous 5 Bedroom Fully Detached Duplex With Bq,"N180,000,000"
88,"Ikate, Ikate Elegushi, Lekki",4 4,Humongous 4 Bedroom Fully Detached Duplex With A Domestic Room,"N125,000,000"
89,"Lekki Phase 1, Lekki",5 5,Super 5 Bedroom Detached Duplex,"N275,000,000"
90,"Banana Island, Ikoyi",4 4,Fully Furnished 4 Bedroom Terrace With A Room BQ For Sale In Banana island,"N260,000,000"
91,"Ikate , Ikate Elegushi, Lekki",5 5,5 bedroom semi-detached duplex,"N78,000,000"
92,Ajah,5 5,Fabulous 5 Bedroom Detached Duplex,"N85,000,000"
93,"Gra, Ikota, Lekki",4 5,Newly Built 4 Bedroom Detached Duplex With Bq For Sale,"N80,000,000"
94,"2Nd Toll Gate, Chevron Drive, Lekki",4 4,4 Bedroom Fully Detached Duplex With Bq,"N65,000,000"
95,"Parkview, Parkview Estate, Ikoyi",4 4 4,Direct & Cash Ready Buyers Only - Fresh Fully Detached House + Rooftop Louge + Bq Etc In Parkview @N350m Net,"N350,000,000"
96,Ikoyi,6 6,"6 Bedroom Fully Detached Duplex with Swimming Pool, Cinema, Gym, Elevator and lots more","N1,400,000,000"
